ii                            mean         std         2.5q         25q         50q         75q      97.5q       mc_err
a_subj(1.0).35             1.90969   0.0553216      1.80515     1.87173     1.90938     1.94593    2.01795   0.00183893
a_subj(1.0).36             2.00285    0.100578      1.80176     1.93535     2.00269     2.06834    2.20378    0.0048575
a_subj(1.0).37             2.82121    0.131767      2.57852     2.73273     2.81321     2.90174    3.09539    0.0057278
a_subj(1.0).38             1.94299   0.0861261      1.78481     1.88212     1.93715     2.00111    2.11805   0.00294797
v(0.0)                     1.99458    0.510986      1.01284      1.6414     1.99584     2.33806    2.98071    0.0129884
v(0.2)                     1.69724    0.514093     0.698119     1.36328     1.70777     2.04916    2.70034    0.0129231
v(1.0)                     1.71594    0.264645       1.1955     1.54013     1.71511     1.88267    2.23616    0.0062199
v(1.1)                     1.23555    0.292214     0.642839     1.04883     1.22406     1.42802    1.81581   0.00649246
v(1.2)                     1.57989    0.287973      1.00825     1.38341     1.58908     1.77652    2.12164   0.00694827
v_std                      1.60868     0.11393      1.40674     1.52723     1.60143     1.68107     1.8539   0.00359648
v_subj(0.0).39             1.86769    0.158432      1.56186     1.76055     1.86486     1.97046    2.17541   0.00420081
v_subj(0.2).39             1.54841      0.5711     0.324388     1.20801     1.59093      1.9392    2.57451    0.0277322
v_subj(0.0).40            0.698182    0.620346     0.092124    0.260671    0.565599    0.914713    2.52913    0.0393839
v_subj(0.2).40            0.480824    0.175828     0.243827    0.347551    0.429262    0.599898   0.883409    0.0100145
v_subj(0.0).41            0.301408    0.382681   -0.0857303    0.108977      0.2082    0.419271   0.994851    0.0200834
v_subj(0.2).41            0.169041    0.587466    -0.706598  -0.0333639   0.0641712    0.283986    1.55942    0.0177989
v_subj(0.0).42             1.02417    0.121626     0.815593    0.944778     1.01563     1.09244     1.2961     0.005215
v_subj(0.2).42             1.69851    0.267412      1.25731      1.5037     1.66771     1.85647    2.30423    0.0165177
v_subj(0.0).43             5.54064    0.588172      4.54509     5.12097     5.46355     5.89093    6.90152    0.0392388
v_subj(0.2).43             1.48544    0.211615      1.11891     1.33106     1.47109      1.6165    1.94275    0.0103719
v_subj(0.0).44              1.6342    0.210227      1.25881     1.48901       1.621     1.77212    2.06937    0.0119431
v_subj(0.2).44             2.18714    0.234497      1.77153     2.02409     2.17352     2.34293    2.66678    0.0112879
v_subj(0.0).45             2.90698    0.185743      2.56536     2.77826     2.90337     3.03247    3.28396   0.00758596
v_subj(0.2).45             2.59087    0.202722      2.21262     2.45194     2.58283     2.71989    3.02628   0.00854737
v_subj(0.0).46             1.28089     0.39374     0.694523     0.99748     1.20806     1.49994    2.23605    0.0261096
v_subj(0.2).46             1.64145    0.120624      1.42936     1.55647     1.63717     1.72095    1.89059   0.00446163
v_subj(0.0).47             1.99799    0.138019      1.73645      1.9078     1.99131     2.09106    2.26891   0.00468162
v_subj(0.2).47             1.87965    0.134143       1.6161     1.79055     1.87524     1.96786    2.15216   0.00367096
v_subj(0.0).48             2.63642    0.208399      2.26239     2.48773     2.62496     2.77557    3.06591   0.00743137
v_subj(0.2).48             3.21534    0.276099      2.68606     3.02757     3.22139     3.40534    3.76787    0.0138877
v_subj(1.0).1              2.46957    0.318961      1.92621     2.24765     2.44223     2.66642    3.16705    0.0146705
v_subj(1.1).1             0.856723    0.107037     0.661022    0.785405    0.852712    0.921022    1.07318   0.00402765
v_subj(1.2).1              1.43014     0.39026     0.918665     1.17321     1.34857     1.59169    2.36924     0.025016
v_subj(1.0).2             0.134791     0.30002    -0.383805   0.0344339    0.117234    0.203071   0.718252    0.0106012
v_subj(1.1).2            -0.246791     0.44988     -1.20005    -0.48511   -0.118266   0.0255843   0.300205     0.018702
v_subj(1.2).2           -0.0313257    0.660665     -1.41759   -0.195201  -0.0196796    0.116376    1.49471    0.0256582
v_subj(1.0).3             0.918853    0.159374      0.65904    0.803561    0.902513     1.00887    1.27947   0.00648905
v_subj(1.1).3              1.33556    0.142222      1.08564     1.23484     1.32932      1.4277    1.63444   0.00518836
v_subj(1.2).3             0.958619    0.102813     0.762568    0.886199    0.961402     1.02738    1.16518   0.00244821
v_subj(1.0).4              1.29926     0.17667     0.983709     1.18336     1.28507     1.40287    1.67172   0.00547988
v_subj(1.1).4              3.01362    0.257133      2.53688     2.84311     3.01319     3.18329    3.56081   0.00834915
v_subj(1.2).4              3.49292    0.302738       2.9383     3.28491     3.48238     3.67574    4.10085    0.0122714
v_subj(1.0).5              2.30061    0.279263       1.7182     2.10887     2.30622     2.50004    2.81316    0.0130015
v_subj(1.1).5              1.22347   0.0993087      1.03309     1.15381     1.22298     1.29033    1.41555   0.00324337
v_subj(1.2).5              1.64471    0.147311      1.37544     1.53645     1.64328     1.74172    1.94338   0.00538702
v_subj(1.0).6              2.32346    0.167247      1.99424     2.21469     2.32541     2.43145    2.66421   0.00595331
v_subj(1.1).6               2.5606    0.172685      2.24048     2.44089     2.55685     2.67745    2.90734   0.00572403
v_subj(1.2).6              2.02034    0.163383      1.70079     1.91197     2.01796     2.12235    2.34404   0.00498221
v_subj(1.0).7             0.616989    0.194944     0.402666    0.492623    0.548317    0.679026    1.13796    0.0137305
v_subj(1.1).7              1.85661    0.311011      1.30722     1.64254     1.83636     2.04308    2.54542    0.0169993
v_subj(1.2).7           -0.0116584    0.232023     -0.30085  -0.0801917  -0.0275127   0.0221346   0.306205   0.00777582
v_subj(1.0).8             0.226289    0.275135    -0.133191   0.0687279    0.150077    0.338255   0.913476    0.0106322
v_subj(1.1).8              1.57692    0.491837     0.331147     1.33352     1.62286     1.88365    2.42919    0.0327977
